raw_code,link_count,registry_classification,routing_classification,canonical_code,is_core_alias,canonical_name,parent_code,root_code,wiktionary_section,parent_chain_json,components_json,source_language_counts_json,example_1_source_lang,example_1_source_word,example_1_source_pos,example_1_source_id,example_1_target_word,example_1_target_label,example_1_anchor,example_2_source_lang,example_2_source_word,example_2_source_pos,example_2_source_id,example_2_target_word,example_2_target_label,example_2_anchor,example_3_source_lang,example_3_source_word,example_3_source_pos,example_3_source_id,example_3_target_word,example_3_target_label,example_3_anchor
cjm,32,full_language,,cjm,false,Eastern Cham,,,,[],[],"{""en"": 4, ""fr"": 2, ""id"": 4, ""vi"": 22}",fr,cham,adj,49255,Cam,,,en,Da Nang,name,357858,Da Nak,,,en,Cham,noun,366925,ꨌꩌ,,
kwk,32,full_language,,kwk,false,Kwak'wala,,,,[],[],"{""en"": 32}",en,We Wai Kai,noun,313735,Wiweqey,,,en,Wei Wai Kum,noun,431929,Wiweqəm,,,en,Kwakiutl,noun,540824,Kwagu'ł,,
nuk,32,full_language,,nuk,false,Nootka,,,,[],[],"{""en"": 30, ""fr"": 1, ""ru"": 1}",fr,potlatch,noun,115657,p̕ačiƛ,,,en,camas,noun,453672,qawaš,,,en,Nootka,noun,457147,nuutkaa,,
ask,31,full_language,,ask,false,Ashkun,,,,[],[],"{""en"": 23, ""es"": 7, ""la"": 1}",es,cuanto,pron,1720,ćīt,,,es,cuánto,adv,5586,ćī́t,,,es,viviente,adj,30055,źit,,
chn,31,full_language,,chn,false,Chinook Jargon,,,,[],[],"{""en"": 29, ""fr"": 1, ""ru"": 1}",fr,potlatch,noun,115657,potlatch,,,en,Oregon,name,90992,ulakan,,,en,the sticks,noun,116484,stick,,
gez,31,full_language,,gez,false,Ge'ez,,,,[],[],"{""de"": 1, ""en"": 22, ""fi"": 1, ""fr"": 1, ""la"": 3, ""ru"": 1, ""tr"": 2}",fr,guèze,noun,151764,ግዕዝ,,,de,Hamasien,name,332825,ሐማሴን,,,en,Beta Israel,name,124058,ቤተ እስራኤል,,
"it,es",31,multiple_languages,,,false,,,,,[],"[{""input"": ""it"", ""classification"": ""full_language"", ""canonical"": ""it"", ""name"": ""Italian""}, {""input"": ""es"", ""classification"": ""full_language"", ""canonical"": ""es"", ""name"": ""Spanish""}]","{""ca"": 4, ""en"": 5, ""eo"": 1, ""fr"": 6, ""gl"": 1, ""pt"": 13, ""ro"": 1}",fr,du,contraction,58,del,,,fr,sauf,adj,3129,salvo,,,fr,coûteux,adj,26162,costoso,,
la-con,31,etymology_only,supported,la-con,false,Contemporary Latin,la-new,la,Latin,"[""la-con"", ""la-new"", ""la""]",[],"{""en"": 4, ""la"": 27}",en,Atomium,name,624774,Atomium,,,en,profestrix,noun,1199411,profestrīx,,,en,profestrices,noun,1374844,profestrīcēs,,
roa-brg,31,full_language,,roa-brg,false,Bourguignon,,,,[],[],"{""fr"": 30, ""it"": 1}",fr,nous,pron,200,i,,,fr,être,verb,218,étre,,,fr,ils,pron,225,âs,,
ty,31,full_language,,ty,false,Tahitian,,,,[],[],"{""en"": 19, ""fr"": 7, ""id"": 2, ""nb"": 1, ""pl"": 1, ""sv"": 1}",fr,fare,noun,66807,fare,,,fr,Maeva,name,75546,maeva,,,fr,monoï,noun,94465,monoʻi,,
cho,30,full_language,,cho,false,Choctaw,,,,[],[],"{""en"": 20, ""eo"": 1, ""es"": 2, ""fr"": 6, ""pl"": 1}",fr,sac-à-lait,noun,12198,sakli,,,fr,bayou,noun,61328,bayuk,,,fr,chaoui,noun,82410,shaui,,
khb,30,full_language,,khb,false,Lü,,,,[],[],"{""en"": 5, ""id"": 1, ""vi"": 24}",en,mong,noun,320621,ᦵᦙᦲᧂ,,,en,Mohan,name,329531,ᦢᦸᧈᦠᦱᧃ,,,en,muang,noun,466833,ᦵᦙᦲᧂ,,
naq,30,full_language,,naq,false,Khoekhoe,,,,[],[],"{""de"": 1, ""el"": 1, ""en"": 16, ""fi"": 2, ""id"": 3, ""it"": 2, ""nb"": 2, ""nl"": 3}",el,Ναμίμπια,name,17438,namib,,,de,Dagga,noun,182811,daxab,,,it,quagga,noun,149060,ǁkoaah,,
roa-gal,30,full_language,,roa-gal,false,Gallo,,,,[],[],"{""fr"": 30}",fr,et,conj,10,et,,,fr,vous,pron,142,vouz,,,fr,nous,pron,200,je,,
sat,30,full_language,,sat,false,Santali,,,,[],[],"{""en"": 4, ""vi"": 26}",en,Ol Chiki,name,537118,ᱚᱞ ᱪᱤᱠᱤ,,,en,Ol Cemet',name,704150,ᱚᱞ ᱪᱮᱢᱮᱫ,,,en,Santali,name,704191,ᱥᱟᱱᱛᱟᱲᱤ,,
sn,30,full_language,,sn,false,Shona,,,,[],[],"{""cs"": 1, ""el"": 1, ""en"": 14, ""eo"": 1, ""fi"": 1, ""hu"": 1, ""id"": 1, ""it"": 1, ""nb"": 1, ""nl"": 1, ""pl"": 1, ""pt"": 2, ""ru"": 2, ""sv"": 1, ""vi"": 1}",el,Ζιμπάμπουε,name,16247,dzimba-dze-mabwe,,,it,Zimbabwe,name,36747,dzimba-dze-mabwe,,,en,Zimbabwe,name,188434,dzimba-dze-mabwe,,
lkt,29,full_language,,lkt,false,Lakota,,,,[],[],"{""ca"": 1, ""en"": 23, ""fi"": 1, ""id"": 1, ""nb"": 1, ""pl"": 2}",en,how,intj,826,háu,,,en,Bird,name,50179,ziŋtkala,,,en,Minnesota,name,89377,mní šóta,,
moe,29,full_language,,moe,false,Montagnais,,,,[],[],"{""en"": 21, ""fr"": 7, ""nb"": 1}",fr,La Romaine,name,16623,unamen,,,fr,Chicoutimi,name,47664,eshko-timiw,,,fr,manitou,noun,66507,manito꞉w,,
swg,29,full_language,,swg,false,Swabian,,,,[],[],"{""de"": 11, ""en"": 15, ""id"": 1, ""la"": 1, ""nl"": 1}",de,galt,adj,7995,gall,,,de,Abkürzung,noun,21849,Abkirrzung,,,de,heikel,adj,39383,haikel,,
thm,29,full_language,,thm,false,Thavung,,,,[],[],"{""vi"": 29}",vi,con,noun,237,กอน,,,vi,tay,noun,793,ซี,,,vi,cá,noun,1509,ก้า,,
wbk,29,full_language,,wbk,false,Waigali,,,,[],[],"{""en"": 17, ""es"": 7, ""la"": 4, ""ru"": 1}",es,cuanto,pron,1720,kiti,,,es,cuánto,adv,5586,kiti,,,es,viviente,adj,30055,ǰit,,
xnt,29,full_language,,xnt,false,Narragansett,,,,[],[],"{""en"": 28, ""nl"": 1}",en,squash,noun,206920,askutasquash,,,en,squash,noun,206920,askut,,,en,squash,noun,206920,asquash,,
