code,name,immediate parent,entry language,entry language name,routing classification,containment chain
ko-gys,Gyeongsang Korean,ko,ko,Korean,available in Lexicoff,ko-gys > ko
ko-ham,Hamgyong Korean,ko,ko,Korean,available in Lexicoff,ko-ham > ko
ko-hwa,Hwanghae Korean,ko-cen,ko,Korean,available in Lexicoff,ko-hwa > ko-cen > ko
ko-jeo,Jeolla Korean,ko,ko,Korean,available in Lexicoff,ko-jeo > ko
ko-pyo,Pyongan Korean,ko,ko,Korean,available in Lexicoff,ko-pyo > ko
ko-yuk,Yukjin Korean,ko,ko,Korean,available in Lexicoff,ko-yuk > ko
kok-mid,Middle Konkani,kok,kok,Konkani,external language,kok-mid > kok
kok-old,Old Konkani,kok,kok,Konkani,external language,kok-old > kok
krl-nor,North Karelian,krl,krl,Karelian,external language,krl-nor > krl
krl-sou,South Karelian,krl,krl,Karelian,external language,krl-sou > krl
ksh,Kölsch,gmw-cfr,gmw-cfr,Central Franconian,external language,ksh > gmw-cfr
kze,Kosena,auy,auy,Auyana,external language,kze > auy
la-afr,African Romance,roa-pro,la,Latin,available in Lexicoff,la-afr > roa-pro > la-lat > la
la-cla,Classical Latin,la,la,Latin,available in Lexicoff,la-cla > la
la-con,Contemporary Latin,la-new,la,Latin,available in Lexicoff,la-con > la-new > la
la-ecc,Ecclesiastical Latin,la,la,Latin,available in Lexicoff,la-ecc > la
la-eme,Early Medieval Latin,la-med,la,Latin,available in Lexicoff,la-eme > la-med > la
la-lat,Late Latin,la,la,Latin,available in Lexicoff,la-lat > la
la-med,Medieval Latin,la,la,Latin,available in Lexicoff,la-med > la
la-new,New Latin,la,la,Latin,available in Lexicoff,la-new > la
la-ren,Renaissance Latin,la,la,Latin,available in Lexicoff,la-ren > la
la-vul,Vulgar Latin,la-cla,la,Latin,available in Lexicoff,la-vul > la-cla > la
lij-old,Old Ligurian,lij,lij,Ligurian,external language,lij-old > lij
lld-amp,Ampezan Ladin,lld,lld,Ladin,external language,lld-amp > lld
lld-bad,Badiot Ladin,lld,lld,Ladin,external language,lld-bad > lld
lld-cad,Cadorino Ladin,lld,lld,Ladin,external language,lld-cad > lld
lld-fas,Fascian Ladin,lld,lld,Ladin,external language,lld-fas > lld
lld-fod,Fodom Ladin,lld,lld,Ladin,external language,lld-fod > lld
lld-for,Fornes Ladin,lld,lld,Ladin,external language,lld-for > lld
lld-ghe,Gherdëina Ladin,lld,lld,Ladin,external language,lld-ghe > lld
lld-non,Nones Ladin,lld,lld,Ladin,external language,lld-non > lld
lmo-old,Old Lombard,lmo,lmo,Lombard,external language,lmo-old > lmo
lng,Lombardic,goh,goh,Old High German,external language,lng > goh
ltc-ear,Early Middle Chinese,ltc,ltc,Middle Chinese,external language,ltc-ear > ltc
ltc-lat,Late Middle Chinese,ltc,ltc,Middle Chinese,external language,ltc-lat > ltc
lut-nor,Northern Lushootseed,lut,lut,Lushootseed,external language,lut-nor > lut
lzh-KO,Korean Classical Chinese,lzh,lzh,Classical Chinese,external language,lzh-KO > lzh
lzh-VI,Vietnamese Classical Chinese,lzh,lzh,Classical Chinese,external language,lzh-VI > lzh
lzh-cii,Ci,lzh,lzh,Classical Chinese,external language,lzh-cii > lzh
lzh-cmn,Classical Mandarin,lzh,lzh,Classical Chinese,external language,lzh-cmn > lzh
lzh-cmn-TW,Classical Taiwanese Mandarin,lzh-cmn,lzh,Classical Chinese,external language,lzh-cmn-TW > lzh-cmn > lzh
lzh-lit,Literary Chinese,lzh,lzh,Classical Chinese,external language,lzh-lit > lzh
lzh-pre,Pre-Classical Chinese,lzh,lzh,Classical Chinese,external language,lzh-pre > lzh
lzh-shi,Traditional Chinese poetry,lzh,lzh,Classical Chinese,external language,lzh-shi > lzh
lzh-tai,Classical Taishanese,lzh,lzh,Classical Chinese,external language,lzh-tai > lzh
lzh-yue,Classical Cantonese,lzh,lzh,Classical Chinese,external language,lzh-yue > lzh
mn-cha,Chakhar Mongolian,mn,mn,Mongolian,external language,mn-cha > mn
mn-kha,Khalkha Mongolian,mn,mn,Mongolian,external language,mn-kha > mn
mn-khr,Khorchin Mongolian,mn,mn,Mongolian,external language,mn-khr > mn
mn-ord,Ordos Mongolian,mn,mn,Mongolian,external language,mn-ord > mn
mns-eas,Eastern Mansi,mns-cen,mns-cen,Central Mansi,external language,mns-eas > mns-cen
mns-wes,Western Mansi,mns-cen,mns-cen,Central Mansi,external language,mns-wes > mns-cen
ms-cla,Classical Malay,ms,ms,Malay,available in Lexicoff,ms-cla > ms
ms-old,Old Malay,ms,ms,Malay,available in Lexicoff,ms-old > ms
mul-tax,taxonomic name,mul,mul,Translingual,external special,mul-tax > mul
nan-anx,Anxi Hokkien,nan-qua,nan-hbl,Hokkien,external language,nan-anx > nan-qua > nan-hbl
nan-cha,Changtai Hokkien,nan-zha,nan-hbl,Hokkien,external language,nan-cha > nan-zha > nan-hbl
nan-hbl-PH,Philippine Hokkien,nan-qua,nan-hbl,Hokkien,external language,nan-hbl-PH > nan-qua > nan-hbl
nan-hbl-SG,Singapore Hokkien,nan-hbl,nan-hbl,Hokkien,external language,nan-hbl-SG > nan-hbl
nan-hbl-TW,Taiwanese Hokkien,nan-hbl,nan-hbl,Hokkien,external language,nan-hbl-TW > nan-hbl
nan-hou,Houlu Min,nan-dat,nan-dat,Datian Min,external language,nan-hou > nan-dat
nan-hui,Hui'an Hokkien,nan-qua,nan-hbl,Hokkien,external language,nan-hui > nan-qua > nan-hbl
nan-jin,Jinjiang Hokkien,nan-qua,nan-hbl,Hokkien,external language,nan-jin > nan-qua > nan-hbl
nan-kin,Kinmenese Hokkien,nan-xia,nan-hbl,Hokkien,external language,nan-kin > nan-xia > nan-hbl
nan-med,Medan Hokkien,nan-zha,nan-hbl,Hokkien,external language,nan-med > nan-zha > nan-hbl
nan-pen,Penang Hokkien,nan-zha,nan-hbl,Hokkien,external language,nan-pen > nan-zha > nan-hbl
nan-qia,Qianlu Min,nan-dat,nan-dat,Datian Min,external language,nan-qia > nan-dat
nan-qua,Quanzhou Hokkien,nan-hbl,nan-hbl,Hokkien,external language,nan-qua > nan-hbl
nan-spm,Southern Malaysian Hokkien,nan-qua,nan-hbl,Hokkien,external language,nan-spm > nan-qua > nan-hbl
nan-ton,Tong'an Hokkien,nan-xia,nan-hbl,Hokkien,external language,nan-ton > nan-xia > nan-hbl
nan-xia,Xiamen Hokkien,nan-hbl,nan-hbl,Hokkien,external language,nan-xia > nan-hbl
nan-yon,Yongchun Hokkien,nan-qua,nan-hbl,Hokkien,external language,nan-yon > nan-qua > nan-hbl
nan-zha,Zhangzhou Hokkien,nan-hbl,nan-hbl,Hokkien,external language,nan-zha > nan-hbl
nan-zho,Zhao'an Hokkien,nan-zha,nan-hbl,Hokkien,external language,nan-zho > nan-zha > nan-hbl
nan-zhp,Zhangping Hokkien,nan-zha,nan-hbl,Hokkien,external language,nan-zhp > nan-zha > nan-hbl
nap-old,Old Neapolitan,nap,nap,Neapolitan,external language,nap-old > nap
ncb-cam,Camorta,ncb,ncb,Central Nicobarese,external language,ncb-cam > ncb
ncb-kat,Katchal,ncb,ncb,Central Nicobarese,external language,ncb-kat > ncb
ncb-nan,Nancowry,ncb,ncb,Central Nicobarese,external language,ncb-nan > ncb
nds-de,German Low German,nds,nds,Low German,external language,nds-de > nds
nds-lpr,Low Prussian,nds-de,nds,Low German,external language,nds-lpr > nds-de > nds
nds-nl,Dutch Low Saxon,nds,nds,Low German,external language,nds-nl > nds
nei,Neo-Hittite,hit,hit,Hittite,external language,nei > hit
nl-BE,Belgian Dutch,nl,nl,Dutch,available in Lexicoff,nl-BE > nl
non-grn,Greenlandic Norse,non-own,non,Old Norse,external language,non-grn > non-own > non
non-oen,Old East Norse,non,non,Old Norse,external language,non-oen > non
non-own,Old West Norse,non,non,Old Norse,external language,non-own > non
nrf-grn,Guernsey Norman,nrf,nrf,Norman,external language,nrf-grn > nrf
nrf-jer,Jersey Norman,nrf,nrf,Norman,external language,nrf-jer > nrf
ntz,Natanzi,xme-ker,xme-ker,Kermanic,external language,ntz > xme-ker
nyq,Nayini,xme-ker,xme-ker,Kermanic,external language,nyq > xme-ker
oc-ara,Aranese,oc-gas,oc,Occitan,available in Lexicoff,oc-ara > oc-gas > oc
oc-auv,Auvergnat,oc,oc,Occitan,available in Lexicoff,oc-auv > oc
oc-gas,Gascon,oc,oc,Occitan,available in Lexicoff,oc-gas > oc
oc-jud,Shuadit,oc,oc,Occitan,available in Lexicoff,oc-jud > oc
oc-lan,Languedocien,oc,oc,Occitan,available in Lexicoff,oc-lan > oc
oc-lim,Limousin,oc,oc,Occitan,available in Lexicoff,oc-lim > oc
oc-pro,Provençal,oc,oc,Occitan,available in Lexicoff,oc-pro > oc
oc-pro-old,Old Provençal,pro,pro,Old Occitan,external language,oc-pro-old > pro
oc-viv,Vivaro-Alpine,oc,oc,Occitan,available in Lexicoff,oc-viv > oc
och-ear,Early Old Chinese,och,och,Old Chinese,external language,och-ear > och
och-lat,Late Old Chinese,och,och,Old Chinese,external language,och-lat > och
oht,Old Hittite,hit,hit,Hittite,external language,oht > hit
ojp-eas,Eastern Old Japanese,ojp,ojp,Old Japanese,external language,ojp-eas > ojp
okm-ear,Early Middle Korean,okm,okm,Middle Korean,external language,okm-ear > okm
oko-lat,Late Old Korean,oko,oko,Old Korean,external language,oko-lat > oko
okz-ang,Angkorian Old Khmer,okz,okz,Old Khmer,external language,okz-ang > okz
okz-pre,Pre-Angkorian Old Khmer,okz,okz,Old Khmer,external language,okz-pre > okz
ont,Ontenu,gaj,gaj,Gadsup,external language,ont > gaj
oos,Old Ossetic,xln,xln,Alanic,external language,oos > xln
oos-ear,Early Old Ossetic,oos,xln,Alanic,external language,oos-ear > oos > xln
oos-lat,Late Old Ossetic,oos,xln,Alanic,external language,oos-lat > oos > xln
orc,Orma,om,om,Oromo,external language,orc > om
oru-kan,Kaniguram,oru,oru,Ormuri,external language,oru-kan > oru
oru-log,Logar,oru,oru,Ormuri,external language,oru-log > oru
os-dig,Digor Ossetian,os,os,Ossetian,external language,os-dig > os
os-iro,Iron Ossetian,os,os,Ossetian,external language,os-iro > os
osc-luc,Lucanian,osc,osc,Oscan,external language,osc-luc > osc
osc-sam,Samnite,osc,osc,Oscan,external language,osc-sam > osc
otk-kir,Old Kirghiz,otk,otk,Old Turkic,external language,otk-kir > otk
otk-ork,Orkhon Turkic,otk,otk,Old Turkic,external language,otk-ork > otk
pal-ear,Early Middle Persian,pal,pal,Middle Persian,external language,pal-ear > pal
pal-lat,Late Middle Persian,pal,pal,Middle Persian,external language,pal-lat > pal
peo-ear,Early Old Persian,peo,peo,Old Persian,external language,peo-ear > peo
peo-lat,Late Old Persian,peo,peo,Old Persian,external language,peo-lat > peo
pfl,Palatine German,gmw-rfr,gmw-rfr,Rhine Franconian,external language,pfl > gmw-rfr
pl-gor,Goral,pl,pl,Polish,available in Lexicoff,pl-gor > pl
pl-gre,Greater Polish,pl,pl,Polish,available in Lexicoff,pl-gre > pl
pl-les,Lesser Polish,pl,pl,Polish,available in Lexicoff,pl-les > pl
pl-mas,Masovian Polish,pl,pl,Polish,available in Lexicoff,pl-mas > pl
pld,Polari,en,en,English,available in Lexicoff,pld > en
pms-old,Old Piedmontese,pms,pms,Piedmontese,external language,pms-old > pms
pnb,Western Punjabi,pa,pa,Punjabi,external language,pnb > pa
pra-abh,Abhiri,pra,pra,Prakrit,external language,pra-abh > pra
pra-ard,Ardhamagadhi Prakrit,pra,pra,Prakrit,external language,pra-ard > pra
pra-ava,Avanti,pra,pra,Prakrit,external language,pra-ava > pra
pra-bah,Bahliki,pra,pra,Prakrit,external language,pra-bah > pra
pra-can,Candali,pra,pra,Prakrit,external language,pra-can > pra
pra-dak,Daksinatya,pra,pra,Prakrit,external language,pra-dak > pra
pra-dra,Dramili,pra,pra,Prakrit,external language,pra-dra > pra
pra-hel,Helu Prakrit,pra,pra,Prakrit,external language,pra-hel > pra
pra-kha,Khasa Prakrit,pra,pra,Prakrit,external language,pra-kha > pra
pra-mag,Magadhi Prakrit,pra,pra,Prakrit,external language,pra-mag > pra
pra-mah,Maharastri Prakrit,pra,pra,Prakrit,external language,pra-mah > pra
pra-odr,Odri,pra,pra,Prakrit,external language,pra-odr > pra
pra-pai,Paisaci Prakrit,pra-sau,pra,Prakrit,external language,pra-pai > pra-sau > pra
pra-pra,Pracya,pra,pra,Prakrit,external language,pra-pra > pra
pra-pro,Proto-New Indo-Aryan,pra,pra,Prakrit,external language,pra-pro > pra
pra-sab,Sabari,pra,pra,Prakrit,external language,pra-sab > pra
pra-sak,Sakari,pra,pra,Prakrit,external language,pra-sak > pra
pra-sau,Sauraseni Prakrit,pra,pra,Prakrit,external language,pra-sau > pra
prs,Dari,fa,fa,Persian,available in Lexicoff,prs > fa
ps-afr,Afridi,ps-nea,ps,Pashto,external language,ps-afr > ps-nea > ps
ps-ban,Bannu,ps-sea,ps,Pashto,external language,ps-ban > ps-sea > ps
ps-bng,Bangash,ps-nea,ps,Pashto,external language,ps-bng > ps-nea > ps
ps-cgi,Central Ghilzay,ps-nwe,ps,Pashto,external language,ps-cgi > ps-nwe > ps
ps-jad,Jadrani,ps,ps,Pashto,external language,ps-jad > ps
ps-kak,Kakari,ps-sea,ps,Pashto,external language,ps-kak > ps-sea > ps
ps-kan,Kandahari,ps-swe,ps,Pashto,external language,ps-kan > ps-swe > ps
ps-mah,Mahsudi,ps-nwe,ps,Pashto,external language,ps-mah > ps-nwe > ps
ps-nea,Northeastern Pashto,ps,ps,Pashto,external language,ps-nea > ps
ps-nwe,Northwestern Pashto,ps,ps,Pashto,external language,ps-nwe > ps
ps-pes,Peshawari,ps-nea,ps,Pashto,external language,ps-pes > ps-nea > ps
ps-sea,Southeastern Pashto,ps,ps,Pashto,external language,ps-sea > ps
ps-ser,Sher,ps-sea,ps,Pashto,external language,ps-ser > ps-sea > ps
ps-swe,Southwestern Pashto,ps,ps,Pashto,external language,ps-swe > ps
ps-waz,Waziri,ps-sea,ps,Pashto,external language,ps-waz > ps-sea > ps
ps-xat,Khatak,ps-nea,ps,Pashto,external language,ps-xat > ps-nea > ps
pse-bsm,Besemah,pse,pse,Central Malay,external language,pse-bsm > pse
pt-BR,Brazilian Portuguese,pt,pt,Portuguese,available in Lexicoff,pt-BR > pt
pt-PT,European Portuguese,pt,pt,Portuguese,available in Lexicoff,pt-PT > pt
qfa-yke-pro,Proto-Ketic,qfa-yen-pro,qfa-yen-pro,Proto-Yeniseian,external reconstructed,qfa-yke-pro > qfa-yen-pro
qfa-yko-pro,Proto-Kottic,qfa-yen-pro,qfa-yen-pro,Proto-Yeniseian,external reconstructed,qfa-yko-pro > qfa-yen-pro
qfa-ypm-pro,Proto-Pumpokolic,qfa-yen-pro,qfa-yen-pro,Proto-Yeniseian,external reconstructed,qfa-ypm-pro > qfa-yen-pro
qfa-yrn-pro,Proto-Arinic,qfa-yen-pro,qfa-yen-pro,Proto-Yeniseian,external reconstructed,qfa-yrn-pro > qfa-yen-pro
qsb-bal,Paleo-Balkan,und,und,Undetermined,external special,qsb-bal > und
qsb-bma,the BMAC substrate,und,und,Undetermined,external special,qsb-bma > und
qsb-grc,Pre-Greek,und,und,Undetermined,external special,qsb-grc > und
qsb-ibe,Paleo-Hispanic,und,und,Undetermined,external special,qsb-ibe > und
qwm-arm,Armeno-Kipchak,qwm,qwm,Kipchak,external language,qwm-arm > qwm
qwm-cum,Cuman,qwm,qwm,Kipchak,external language,qwm-cum > qwm
qwm-mam,Mamluk-Kipchak,qwm,qwm,Kipchak,external language,qwm-mam > qwm
qxq,Qashqai,az,az,Azerbaijani,available in Lexicoff,qxq > az
rdb-jir,Jirofti,rdb,rdb,Rudbari,external language,rdb-jir > rdb
rdb-kah,Kahnuji,rdb,rdb,Rudbari,external language,rdb-kah > rdb
rgn-old,Old Romagnol,rgn,rgn,Romagnol,external language,rgn-old > rgn
rm-gri,Rumantsch Grischun,rm,rm,Romansh,external language,rm-gri > rm
rm-old,Old Romansh,rm,rm,Romansh,external language,rm-old > rm
rm-put,Puter Romansh,rm,rm,Romansh,external language,rm-put > rm
rm-srm,Surmiran Romansh,rm,rm,Romansh,external language,rm-srm > rm
rm-srs,Sursilvan Romansh,rm,rm,Romansh,external language,rm-srs > rm
rm-sut,Sutsilvan Romansh,rm,rm,Romansh,external language,rm-sut > rm
rm-val,Vallader Romansh,rm,rm,Romansh,external language,rm-val > rm
ro-MD,Moldovan,ro,ro,Romanian,available in Lexicoff,ro-MD > ro
roa-oit,Old Italian,it,it,Italian,available in Lexicoff,roa-oit > it
roa-pro,Proto-Romance,la-lat,la,Latin,available in Lexicoff,roa-pro > la-lat > la
rw-kin,Kinyarwanda,rw,rw,Rwanda-Rundi,external language,rw-kin > rw
rw-run,Kirundi,rw,rw,Rwanda-Rundi,external language,rw-run > rw
sa-bhs,Buddhist Hybrid Sanskrit,sa,sa,Sanskrit,available in Lexicoff,sa-bhs > sa
sa-bra,Brahmanic Sanskrit,vsn,sa,Sanskrit,available in Lexicoff,sa-bra > vsn > sa
sa-epi,Epic Sanskrit,cls,sa,Sanskrit,available in Lexicoff,sa-epi > cls > sa
sa-neo,New Sanskrit,sa,sa,Sanskrit,available in Lexicoff,sa-neo > sa
sa-rig,Rigvedic Sanskrit,vsn,sa,Sanskrit,available in Lexicoff,sa-rig > vsn > sa
sc-nuo,Nuorese,sc-src,sc,Sardinian,external language,sc-nuo > sc-src > sc
sc-old,Old Sardinian,sc,sc,Sardinian,external language,sc-old > sc
sc-src,Logudorese,sc,sc,Sardinian,external language,sc-src > sc
sc-sro,Campidanese,sc,sc,Sardinian,external language,sc-sro > sc
scn-old,Old Sicilian,scn,scn,Sicilian,external language,scn-old > scn
sco-ins,Insular Scots,sco,sco,Scots,external language,sco-ins > sco
sco-nor,Northern Scots,sco,sco,Scots,external language,sco-nor > sco
sco-sou,Southern Scots,sco,sco,Scots,external language,sco-sou > sco
sco-uls,Ulster Scots,sco,sco,Scots,external language,sco-uls > sco
sdz,Sallands,nds-nl,nds,Low German,external language,sdz > nds-nl > nds
sgh-baj,Bajui,sgh-xgb,sgh,Shughni,external language,sgh-baj > sgh-xgb > sgh
sgh-bar,Bartangi,sgh-bro,sgh,Shughni,external language,sgh-bar > sgh-bro > sgh
sgh-bro,Bartangi-Oroshori,sgh,sgh,Shughni,external language,sgh-bro > sgh
sgh-oro,Oroshori,sgh-bro,sgh,Shughni,external language,sgh-oro > sgh-bro > sgh
sgh-ros,Roshani,sgh-rsx,sgh,Shughni,external language,sgh-ros > sgh-rsx > sgh
sgh-rsx,Roshani-Khufi,sgh,sgh,Shughni,external language,sgh-rsx > sgh
sgh-xgb,Khughni-Bajui,sgh,sgh,Shughni,external language,sgh-xgb > sgh
sgh-xuf,Khufi,sgh-rsx,sgh,Shughni,external language,sgh-xuf > sgh-rsx > sgh
sgh-xug,Khughni,sgh-xgb,sgh,Shughni,external language,sgh-xug > sgh-xgb > sgh
sh-tor,Torlakian Serbo-Croatian,sh,sh,Serbo-Croatian,available in Lexicoff,sh-tor > sh
shi-med,Medieval Tashelhit,shi,shi,Tashelhit,external language,shi-med > shi
si-med,Medieval Sinhalese,si,si,Sinhalese,external language,si-med > si
ska,Skagit,lut-nor,lut,Lushootseed,external language,ska > lut-nor > lut
slh,Southern Lushootseed,lut,lut,Lushootseed,external language,slh > lut
sli,Silesian East Central German,gmw-ecg,gmw-ecg,East Central German,external language,sli > gmw-ecg
sno,Snohomish,lut-nor,lut,Lushootseed,external language,sno > lut-nor > lut
sog-ear,Early Sogdian,sog,sog,Sogdian,external language,sog-ear > sog
sog-lat,Late Sogdian,sog-ear,sog,Sogdian,external language,sog-lat > sog-ear > sog
soj,Soi,xme-ker,xme-ker,Kermanic,external language,soj > xme-ker
ssn,Waata,om,om,Oromo,external language,ssn > om
stl,Stellingwerfs,nds-nl,nds,Low German,external language,stl > nds-nl > nds
sxu,Upper Saxon German,gmw-ecg,gmw-ecg,East Central German,external language,sxu > gmw-ecg
ta-mid,Middle Tamil,ta,ta,Tamil,external language,ta-mid > ta
tai-shz,Shangsi Zhuang,za,za,Zhuang,external language,tai-shz > za
taq,Tamasheq,tmh,tmh,Tuareg,external language,taq > tmh
tbq-pro,Proto-Tibeto-Burman,sit-pro,sit-pro,Proto-Sino-Tibetan,external reconstructed,tbq-pro > sit-pro
th-ayu,Ayutthaya Old Thai,th-old,tai-swe-pro,Proto-Southwestern Tai,external reconstructed,th-ayu > th-old > tai-swe-pro
th-old,Old Thai,tai-swe-pro,tai-swe-pro,Proto-Southwestern Tai,external reconstructed,th-old > tai-swe-pro
th-suk,Sukhothai Old Thai,th-old,tai-swe-pro,Proto-Southwestern Tai,external reconstructed,th-suk > th-old > tai-swe-pro
thv,Tamahaq,tmh,tmh,Tuareg,external language,thv > tmh
thv-ght,Ghat,thv,tmh,Tuareg,external language,thv-ght > thv > tmh
thz,Tayert,tmh,tmh,Tuareg,external language,thz > tmh
tks-cal,Chali Tati,tks,tks,Ramandi,external language,tks-cal > tks
tks-dan,Danesfani,tks,tks,Ramandi,external language,tks-dan > tks
tks-ebr,Ebrahimabadi,tks,tks,Ramandi,external language,tks-ebr > tks
tks-esf,Esfarvarini,tks,tks,Ramandi,external language,tks-esf > tks
tks-sag,Sagzabadi,tks,tks,Ramandi,external language,tks-sag > tks
tks-tak,Takestani,tks,tks,Ramandi,external language,tks-tak > tks
tks-xia,Khiaraji,tks,tks,Ramandi,external language,tks-xia > tks
tks-xoz,Khoznini,tks,tks,Ramandi,external language,tks-xoz > tks
tl-cls,Classical Tagalog,tl,tl,Tagalog,external language,tl-cls > tl
tl-old,Old Tagalog,tl,tl,Tagalog,external language,tl-old > tl
tly-anb,Anbarani,tly-nor,tly,Talysh,external language,tly-anb > tly-nor > tly
tly-asa,Asalemi,tly-cen,tly,Talysh,external language,tly-asa > tly-cen > tly
tly-aze,Azerbaijani Talysh,tly-nor,tly,Talysh,external language,tly-aze > tly-nor > tly
tly-cen,Central Talysh,tly,tly,Talysh,external language,tly-cen > tly
tly-fum,Fumani,tly-sou,tly,Talysh,external language,tly-fum > tly-sou > tly
tly-kar,Karganrudi,tly-cen,tly,Talysh,external language,tly-kar > tly-cen > tly
tly-msa,Masali,tly-sou,tly,Talysh,external language,tly-msa > tly-sou > tly
tly-msu,Masulei,tly-sou,tly,Talysh,external language,tly-msu > tly-sou > tly
tly-nor,Northern Talysh,tly,tly,Talysh,external language,tly-nor > tly
tly-san,Shandarmani,tly-sou,tly,Talysh,external language,tly-san > tly-sou > tly
tly-sou,Southern Talysh,tly,tly,Talysh,external language,tly-sou > tly
tly-tal,Taleshdulabi,tly-cen,tly,Talysh,external language,tly-tal > tly-cen > tly
tly-tul,Tularudi,tly-cen,tly,Talysh,external language,tly-tul > tly-cen > tly
tmr,Jewish Babylonian Aramaic,arc,arc,Aramaic,external language,tmr > arc
tpw-lga,Língua Geral Amazônica,tpw,tpw,Old Tupi,external language,tpw-lga > tpw
tpw-lgp,Língua Geral Paulista,tpw,tpw,Old Tupi,external language,tpw-lgp > tpw
tr-CY,Cypriot Turkish,tr,tr,Turkish,available in Lexicoff,tr-CY > tr
trk-bul-pro,Proto-Bulgar,trk-ogr-pro,trk-pro,Proto-Turkic,external reconstructed,trk-bul-pro > trk-ogr-pro > trk-pro
trk-cmn-pro,Proto-Common Turkic,trk-pro,trk-pro,Proto-Turkic,external reconstructed,trk-cmn-pro > trk-pro
trk-ogr-pro,Proto-Oghur,trk-pro,trk-pro,Proto-Turkic,external reconstructed,trk-ogr-pro > trk-pro
trk-ogz-pro,Proto-Oghuz,trk-pro,trk-pro,Proto-Turkic,external reconstructed,trk-ogz-pro > trk-pro
tsk,Tseku,bo,bo,Tibetan,external language,tsk > bo
ttq,Tawellemmet,tmh,tmh,Tuareg,external language,ttq > tmh
tw,Twi Akan,ak,ak,Akan,external language,tw > ak
tw-aku,Akuapem Twi,tw,ak,Akan,external language,tw-aku > tw > ak
tw-asa,Asante Twi,tw,ak,Akan,external language,tw-asa > tw > ak
twd,Twents,nds-nl,nds,Low German,external language,twd > nds-nl > nds
uk-CA,Canadian Ukrainian,uk,uk,Ukrainian,available in Lexicoff,uk-CA > uk
urj-fpr-pro,Proto-Finno-Permic,urj-pro,urj-pro,Proto-Uralic,external reconstructed,urj-fpr-pro > urj-pro
uz-afg,Afghan Uzbek,uz,uz,Uzbek,external language,uz-afg > uz
vaf,Vafsi,xme-taf,xme-taf,Tafreshi,external language,vaf > xme-taf
vec-old,Old Venetan,vec,vec,Venetan,external language,vec-old > vec
vel,Veluws,nds-nl,nds,Low German,external language,vel > nds-nl > nds
vsn,Vedic Sanskrit,sa,sa,Sanskrit,available in Lexicoff,vsn > sa
wae,Walser German,gsw-hst,gsw,Alemannic German,external language,wae > gsw-hst > gsw
wep,Westphalian,nds-de,nds,Low German,external language,wep > nds-de > nds
wss,Wasa,ak,ak,Akan,external language,wss > ak
wuu-chm,Shadi Wu,wuu-nor,wuu,Wu,external language,wuu-chm > wuu-nor > wuu
wuu-han,Hangzhounese,wuu,wuu,Wu,external language,wuu-han > wuu
wuu-nin,Ningbonese,wuu,wuu,Wu,external language,wuu-nin > wuu
wuu-nor,Northern Wu,wuu,wuu,Wu,external language,wuu-nor > wuu
wuu-sha,Shanghainese,wuu-nor,wuu,Wu,external language,wuu-sha > wuu-nor > wuu
wuu-suz,Suzhounese,wuu-nor,wuu,Wu,external language,wuu-suz > wuu-nor > wuu
wuu-wen,Wenzhounese,wuu,wuu,Wu,external language,wuu-wen > wuu
xaq,Aquitanian,euq-pro,euq-pro,Proto-Basque,external reconstructed,xaq > euq-pro
xbo-dan,Danube Bulgar,xbo,xbo,Bulgar,external language,xbo-dan > xbo
xbo-vol,Volga Bulgar,xbo,xbo,Bulgar,external language,xbo-vol > xbo
xcg,Cisalpine Gaulish,cel-gau,cel-gau,Gaulish,external language,xcg > cel-gau
xfa-cap,Capenate,xfa,xfa,Faliscan,external language,xfa-cap > xfa
xh-bha,Bhaca,xh,xh,Xhosa,external language,xh-bha > xh
xme-aby,Abyanehi,xme-ker,xme-ker,Kermanic,external language,xme-aby > xme-ker
xme-abz,Abuzeydabadi,xme-ker,xme-ker,Kermanic,external language,xme-abz > xme-ker
xme-amo,Amorehi,xme-taf,xme-taf,Tafreshi,external language,xme-amo > xme-taf
xme-ana,Anaraki,xme-ker,xme-ker,Kermanic,external language,xme-ana > xme-ker
xme-ard,Ardestani,xme-ker,xme-ker,Kermanic,external language,xme-ard > xme-ker
xme-azr,Old Azari,xme-ott,xme-ott,Old Tati,external language,xme-azr > xme-ott
xme-bdr,Badrudi,xme-ker,xme-ker,Kermanic,external language,xme-bdr > xme-ker
xme-bid,Bidhandi,xme-ker,xme-ker,Kermanic,external language,xme-bid > xme-ker
xme-bij,Bijagani,xme-ker,xme-ker,Kermanic,external language,xme-bij > xme-ker
xme-bor,Borujerdi,xme-taf,xme-taf,Tafreshi,external language,xme-bor > xme-taf
xme-cim,Chimehi,xme-ker,xme-ker,Kermanic,external language,xme-cim > xme-ker
xme-del,Delijani,xme-ker,xme-ker,Kermanic,external language,xme-del > xme-ker
xme-far,Farizandi,xme-ker,xme-ker,Kermanic,external language,xme-far > xme-ker
xme-ham,Hamadani,xme-taf,xme-taf,Tafreshi,external language,xme-ham > xme-taf
xme-han,Hanjani,xme-ker,xme-ker,Kermanic,external language,xme-han > xme-ker
xme-isf,Isfahani,xme-ker,xme-ker,Kermanic,external language,xme-isf > xme-ker
xme-jow,Jowshaqani,xme-ker,xme-ker,Kermanic,external language,xme-jow > xme-ker
xme-kaf,Kafroni,xme-ker,xme-ker,Kermanic,external language,xme-kaf > xme-ker
